U01;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
91501;Head of State;Levy Mwanawasa;2003;SL;Benevolent Gentleman;High;M_U01_levy_mwanawasa;x
91502;Head of Government;Levy Mwanawasa;2003;SL;Silent Workhorse;High;M_U01_levy_mwanawasa;x
91503;Foreign Minister;Kabinga Pande;2003;SL;Ideological Crusader;High;M_U01_kabinga_pande;x
91504;Minister of Armament;George Mpombo;2003;SL;Corrupt Kleptocrat;High;M_U01_george_mpombo;x
91505;Minister of Security;George Kunda;2003;SL;Compassionate Gentleman;High;M_U01_george_kunda;x
91506;Head of Military Intelligence;Ronnie Shikapwasha;2003;NA;Political Specialist;High;M_U01_ronnie_shikapwasha;x
91507;Chief of Staff;Undistinguished Suit;2003;NA;Undistinguished Suit;High;Unknown;x
91508;Chief of Army;Undistinguished Suit;2003;NA;Undistinguished Suit;High;Unknown;x
91509;Chief of Air Force;Undistinguished Suit;2003;NA;Undistinguished Suit;High;Unknown;x
91510;Chief of Navy;N/A;2003;NA;Undistinguished Suit;High;Unknown;x
91511;Head of State;Michael Sata;2003;ML;Weary Stiffneck;High;M_U01_michael_sata;x
91512;Head of Government;Michael Sata;2003;ML;Flamboyant Tough Guy;High;M_U01_michael_sata;x
91513;Head of State;Rupiah Banda;2008;SL;Barking Buffoon;High;M_U01_rupiah_banda;x
91514;Head of Government;Rupiah Banda;2008;SL;Ambitious Union Boss;High;M_U01_rupiah_banda;x
