U13;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
25001;Head of State;Isaias Afewerki;1003;LE;Stern Imperialist;High;M_U13_isaias_afewerki;x
25002;Head of Government;Isaias Afewerki;1003;LE;Ambitious Union Boss;High;M_U13_isaias_afewerki;x
25003;Foreign Minister;Osman Saleh Mohammed;1003;LE;Apologetic Clerk;High;M_U13_osman_saleh_mohammed;x
25004;Minister of Armament;Sebhat Ephrem;1003;LE;Military Entrepreneur;High;M_U13_sebhat_ephrem;x
25005;Minister of Security;Askalu Menkerios;1003;LE;Compassionate Gentleman;High;M_U13_askalu_menkerios;x
25006;Head of Military Intelligence;Undistinguished Suit;1003;NA;Undistinguished Suit;High;Unknown;x
25007;Chief of Staff;Undistinguished Suit;1003;NA;Undistinguished Suit;High;Unknown;x
25008;Chief of Army;Undistinguished Suit;1003;NA;Undistinguished Suit;High;Unknown;x
25009;Chief of Air Force;Undistinguished Suit;1003;NA;Undistinguished Suit;High;Unknown;x
25010;Chief of Navy;Undistinguished Suit;1003;NA;Undistinguished Suit;High;Unknown;x
