U32;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;
97001;Head of State;Igor Pushkaryov;1003;SC;Autocratic Charmer;High;M_U32_igor_pushkaryov;x
97002;Head of Government;Alexander Sokolov;1003;SC;Silent Workhorse;High;M_U32_alexander_sokolov;x
97003;Foreign Minister;Andrey Lobkin;1003;SC;Ideological Crusader;High;M_U32_andrey_lobkin;x
97004;Minister of Armament;Viktor Chechevatov;1003;SC;Military Entrepreneur;High;M_U32_viktor_chechevatov;x
97005;Minister of Security;Alexander Vinnikov;1003;SC;Crime Fighter;High;M_U32_alexander_vinnikov;x
97006;Head of Military Intelligence;Vladislav Skvortsov;1003;SC;Political Specialist;High;M_U32_vladislav_skvortsov;x
97007;Chief of Staff;Vladimir Bulgakov;1003;SC;School of Fire Support;High;M_U32_vladimir_bulgakov;x
97008;Chief of Army;Oleg Salyukov;1003;SC;Elastic Defence Doctrine;High;M_U32_oleg_salyukov;x
97009;Chief of Navy;Konstantin Sidenko;1003;SC;Decisive Naval Battle Doctrine;High;M_U32_konstantin_sidenko;x
97010;Chief of Air Force;Valeriy Ivanov;1003;SC;Air Superiority Doctrine;High;Unknown;x
