U16;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
44501;Head of State;Jabir Sabah;2003;SC;Benevolent Gentleman;High;M_U16_jabir_sabah;x
44502;Head of Government;Sabah al-Ahmad;2003;SC;Smiling Oilman;High;M_U16_sabah_al-ahmad;x
44503;Foreign Minister;Muhammad Sabah;2003;SC;Ideological Crusader;High;M_U16_muhammad_sabah;x
44504;Minister of Armament;Jabir Mubarak;2003;SC;Theoretical Scientist;High;Unknown;x
44505;Minister of Security;Ahmad Yaqub Baqr;2003;SC;Crime Fighter;High;Unknown;x
44506;Head of Military Intelligence;Unknown;2003;SC;Political Specialist;High;Unknown;x
44507;Chief of Staff;Fahd Ahmad al-Amir;2003;SC;School of Defence;High;Unknown;x
44508;Chief of Army;Fahd Ahmad al-Amir;2003;SC;Static Defence Doctrine;High;Unknown;x
44509;Chief of Navy;Ahmad Yousuf al-Mualla;2003;SC;Base Control Doctrine;High;Unknown;x
44510;Chief of Air Force;Sabir al-Auwaidan;2003;SC;Air Superiority Doctrine;High;Unknown;x
