U11;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
20501;Head of State;Joseph Kabila;2003;LWR;Resigned Generalissimo;High;M_U11_joseph_kabila;x
20502;Head of Government;Joseph Kabila;2003;LWR;Political Protege;High;M_U11_joseph_kabila;x
20503;Foreign Minister;Leonard Okitundu;2003;LWR;Ideological Crusader;High;M_U11_leonard_okitundu;x
20504;Minister of Armament;Adolphe Onusumba;2003;LWR;Corrupt Kleptocrat;High;M_U11_adolphe_onusumba;x
20505;Minister of Security;Denis Numbi;2003;LWR;Silent Lawyer;High;M_U11_denis_numbi;x
20506;Head of Military Intelligence;Dieudonné Mbandakulu;2003;NA;Logistics Specialist;High;M_U11_dieudonné_mbandakulu;x
20507;Chief of Staff;Baudouin Nyamuniobo;2003;NA;School of Psychology;High;M_U11_baudouin_nyamuniobo;x
20508;Chief of Army;Kisempia Sungilanga;2003;NA;Elastic Defence Doctrine;High;M_U11_kisempia_sungilanga;x
20509;Chief of Air Force;Bitanihirwa Kamara;2003;NA;Army Aviation Doctrine;High;Unknown;x
20510;Chief of Navy;Baudouin Nyamuniobo;2003;NA;Indirect Approach Doctrine;High;M_U11_baudouin_nyamuniobo;x
20511;Head of Government;Antoine Gizenga;2003;LWR;Political Protege;High;M_U11_antoine_gizenga;x
20512;Head of Government;Adolphe Muzito;2003;LWR;Flamboyant Tough Guy;High;M_U11_adolphe_muzito;x
20513;Head of Government;Charles Mwando Nsimba;2003;LWR;Corrupt Kleptocrat;High;M_U11_charles_mwando_nsimba;x
20514;Minister of Armament;Chikez Diemu;2003;LWR;Corrupt Kleptocrat;High;M_U11_chikez_diemu;x
20515;Chief of Staff;Kisempia Sungilanga;2003;NA;School of Fire Support;High;M_U11_kisempia_sungilanga;x
20516;Chief of Staff;Dieudonné Mbandakulu;2003;NA;School of Defence;High;M_U11_dieudonné_mbandakulu;x
20517;Chief of Staff;Didier Longila;2003;NA;School of Psychology;High;M_U11_didier_longila;x
20518;Chief of Navy;Amuli Bahigwa;2003;NA;Base Control Doctrine;High;Unknown;x
20519;Chief of Army;Sylvain Buki;2003;NA;Armoured Spearhead Doctrine;High;M_U11_sylvain_buki;x
20520;Foreign Minister;Antoine Ghonda;2003;SD;General Staffer;High;M_U11_antoine_ghonda;x
20521;Foreign Minister;Raymond Baya;2003;SD;Biased Intellectual;High;M_U11_raymond_baya;x
20522;Foreign Minister;Antipas Mbusa Nyamwisi;2003;LWR;Ideological Crusader;High;M_U11_antipas_mbusa_nyamwisi;x
20523;Minister of Armament;Jean-Pierre Ondekane;2003;SD;Military Entrepreneur;High;M_U11_jean-pierre_ondekane;x
20524;Minister of Armament;Adolphe Yemba;2003;SD;Corrupt Kleptocrat;High;M_U11_adolphe_yemba;x
20525;Minister of Security;Théophile Fundu;2003;LWR;Compassionate Gentleman;High;M_U11_théophile_fundu;x
20526;Minister of Armament;Charles Mwando Nsimba;2003;SD;Administrative Genius;High;M_U11_charles_mwando_nsimba;x
