U07;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
10501;Head of State;Festus Mogae;1003;ML;Benevolent Gentleman;High;M_U07_festus_mogae;x
10502;Head of Government;Festus Mogae;1003;ML;Silent Workhorse;High;M_U07_festus_mogae;x
10503;Foreign Minister;Undistinguished Suit;1003;NA;Undistinguished Suit;High;Unknown;x
10504;Minister of Armament;Undistinguished Suit;1003;NA;Undistinguished Suit;High;Unknown;x
10505;Minister of Security;Undistinguished Suit;1003;NA;Undistinguished Suit;High;Unknown;x
10506;Head of Military Intelligence;Undistinguished Suit;1003;NA;Undistinguished Suit;High;Unknown;x
10507;Chief of Staff;Undistinguished Suit;1003;NA;Undistinguished Suit;High;Unknown;x
10508;Chief of Army;Undistinguished Suit;1003;NA;Undistinguished Suit;High;Unknown;x
10509;Chief of Navy;Undistinguished Suit;1003;NA;Undistinguished Suit;High;Unknown;x
10510;Chief of Air Force;Undistinguished Suit;1003;NA;Undistinguished Suit;High;Unknown;x
