U05;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
50001;Head of State;Bakili Muluzi;2003;SL;Ruthless Powermonger;High;M_U05_bakili_muluzi;x
50002;Head of Government;Bakili Muluzi;2003;SL;Flamboyant Tough Guy;High;M_U05_bakili_muluzi;x
50003;Foreign Minister;Lilian Patel;2003;SL;Great Compromiser;High;M_U05_lilian_patel;x
50004;Minister of Armament;Undistinguished Suit;2003;NA;Undistinguished Suit;High;Unknown;x
50005;Minister of Security;Undistinguished Suit;2003;NA;Undistinguished Suit;High;Unknown;x
50006;Head of Military Intelligence;Undistinguished Suit;2003;NA;Undistinguished Suit;High;Unknown;x
50007;Chief of Staff;Undistinguished Suit;2003;NA;Undistinguished Suit;High;Unknown;x
50008;Chief of Army;Undistinguished Suit;2003;NA;Undistinguished Suit;High;Unknown;x
50009;Chief of Navy;Undistinguished Suit;2003;NA;Undistinguished Suit;High;Unknown;x
50010;Chief of Air Force;Undistinguished Suit;2003;NA;Undistinguished Suit;High;Unknown;x
