U17;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
54001;Head of State;Vladimir Voronin;2003;LWR;Benevolent Gentleman;High;M_U17_vladimir_voronin;x
54002;Head of Government;Vasile Tarlev;2003;LWR;Silent Workhorse;High;M_U17_vasile_tarlev;x
54003;Foreign Minister;Nicolae Dudau;2003;LWR;Apologetic Clerk;High;M_U17_nicolae_dudau;x
54004;Minister of Armament;Mihai Pop;2003;LWR;Resource Industrialist;High;M_U17_mihai_pop;x
54005;Minister of Security;Victoria Iftodi;2003;LWR;Silent Lawyer;High;Unknown;x
54006;Head of Military Intelligence;Valeriu Pasat;2003;LWR;Dismal Enigma;High;M_U17_valeriu_pasat;x
54007;Chief of Staff;Vladimir Dontu;2003;LWR;School of Psychology;High;Unknown;x
54008;Chief of Army;Vladimir Dontu;2003;LWR;Guns and Butter Doctrine;High;Unknown;x
54009;Chief of Navy;Unknown;2003;LWR;Base Control Doctrine;High;Unknown;x
54010;Chief of Air Force;Vladimir Dontu;2003;LWR;Air Superiority Doctrine;High;Unknown;x
;Replacements;;;;;;;x
