U15;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
43001;Head of State;Mwai Kibaki;1003;ML;Benevolent Gentleman;High;M_U15_mwai_kibaki;x
43002;Head of Government;Mwai Kibaki;1003;ML;Silent Workhorse;High;M_U15_mwai_kibaki;x
43003;Foreign Minister;Kalonzo Musyoka;1003;ML;Great Compromiser;High;M_U15_kalonzo_musyoka;x
43004;Minister of Armament;Mohamed Yusuf Haji;1003;ML;Resource Industrialist;High;M_U15_mohamed_yusuf_haji;x
43005;Minister of Security;George Saitoti;1003;ML;Silent Lawyer;High;M_U15_george_siatoti;x
43006;Head of Military Intelligence;Wilson Boinett;1003;NA;Technical Specialist;High;Unknown;x
43007;Chief of Staff;Jeremiah Kianga;1003;NA;School of Psychology;High;M_U15_jeremiah_kianga;x
43008;Chief of Army;Jackson Tuwei;1003;NA;Guns and Butter Doctrine;High;M_U15_jackson_tuwei;x
43009;Chief of Air Force;Julius Karangi;1003;NA;Army Aviation Doctrine;High;M_U15_julius_karangi;x
43010;Chief of Navy;Samsom Jefwa Mwathethe;1003;NA;Indirect Approach Doctrine;High;M_U15_samsom_jefwa_mwathethe;x
43011;Head of State;Raila Odinga;1003;SL;Benevolent Gentleman;High;M_U15_raila_odinga;x
43012;Head of Government;Raila Odinga;1003;SL;Silent Workhorse;High;M_U15_raila_odinga;x
43013;Foreign Minister;Cecily Mbarire;1003;ML;Great Compromiser;High;M_U15_cecily_mbarire;x
43014;Foreign Minister;Amason Jeffah;1003;ML;Biased Intellectual;High;M_U15_amason_jeffah;x
43015;Foreign Minister;Moses Wetangula;1007;ML;Ideological Crusader;High;M_U15_moses_wetangula;x
43016;Foreign Minister;Raphael Tuju;1004;ML;Iron-Fisted Brute;High;M_U15_raphael_tuju;x
43017;Foreign Minister;Chirau Mwakwere;1003;ML;Apologetic Clerk;High;M_U15_chirau_mwakwere;x
43018;Minister of Armament;David Musila;1003;ML;Tank Proponent;High;M_U15_david_musila;x
43019;Minister of Security;Amos Wako;1003;ML;Back Stabber;High;M_U15_amos_wako;x
43020;Minister of Security;Gerald Kajwang;1003;ML;Crooked Kleptocrat;High;M_U15_gerald_kajwang;x
43021;Minister of Security;Kalonzo Musyoka;1003;ML;Crime Fighter;High;Unknown;x
43022;Head of Military Intelligence;Michael Gichangi;1006;NA;Dismal Enigma;High;M_U15_michael_gichangi;x
43023;Chief of Staff;Julius Karangi;1006;NA;School of Fire Support;High;M_U15_julius_karangi;x
43024;Chief of Army;Jones Mutwii;1003;NA;Elastic Defence Doctrine;High;M_U15_jones_mutwii;x
43025;Chief of Staff;Jones Mutwii;1006;NA;School of Psychology;High;M_U15_jones_mutwii;x
43026;Chief of Air Force;Harold Tangai;1005;NA;Air Superiority Doctrine;High;M_U15_harold_tangai;x
43027;Chief of Air Force;Charles Mwanzia;1003;NA;Air Superiority Doctrine;High;M_U15_charles_mwanzia;x
43028;Chief of Staff;Charles Mwanzia;1008;NA;School of Fire Support;High;M_U15_charles_mwanzia;x
43029;Chief of Army;Bashir Yussuf Haji;1010;NA;Armoured Spearhead Doctrine;High;M_U15_bashir_yussuf_haji;x
43030;Chief of Air Force;Jackson Waweru;1008;NA;Army Aviation Doctrine;High;M_U15_jackson_waweru;x
43031;Chief of Army;Augustino Njoroge;1005;NA;Elastic Defence Doctrine;High;M_U15_augustino_njoroge;x
43032;Minister of Armament;Henry Kosgey;1003;NA;Resource Industrialist;High;M_U15_henry_kosgey;x
43033;Minister of Security;Ababu Namwamba;1003;SL;Silent Lawyer;High;M_U15_ababu_namwamba;x
43034;Foreign Minister;Joyce Laboso;1003;SL;Biased Intellectual;High;M_U15_joyce_laboso;x
