U33;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
98001;Head of State;Dokka Umarov;1003;NS;Power-Hungry Demagogue;High;M_U33_dokka_umarov;x
98002;Head of Government;Movladi Udugov;1003;NS;Silent Workhorse;High;M_U33_movladi_udugov;x
98003;Minister of Armament;Khozh-Ahmed Noukhayev;1003;FA;Infantry Proponent;High;M_U33_khozh-ahmed_noukhayev;x
98004;Foreign Minister;Ilyas Akhmadov;1003;FA;Ideological Crusader;High;M_U33_ilyas_akhmadov;x
98005;Chief of Navy;Supyan Abdullayev;1003;NS;Decisive Naval Battle Doctrine;High;M_U33_supyan_abdullayev;x
98006;Chief of Army;Akhmed Yevloyev;1003;NS;Guns and Butter Doctrine;High;M_U33_akhmed_yevloyev;x
98007;Chief of Air Force;Abu Anas;1003;NS;Air Superiority Doctrine;High;M_U33_abu_anas;x
98008;Head of Military Intelligence;Emir Saad;1003;NS;Logistics Specialist;High;M_U33_emir_saad;x
98009;Chief of Staff;Dokka Umarov;1003;NS;School of Psychology;High;M_U33_dokka_umarov;x
98010;Minister of Security;Sultan Gelishkanov;1003;NS;Efficient Sociopath;High;Unknown;x
