U10;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
15001;Head of State;Francois Bozizé;2003;PA;Resigned Generalissimo;High;M_U10_francois_bozizé;x
15002;Head of Government;Abel Goumba;2003;PA;Political Protege;High;M_U10_abel_goumba;x
15003;Foreign Minister;Dieudonne Kombo-Yaya;2003;PA;Great Compromiser;High;M_U10_dieudonne_kombo-yaya;x
15004;Minister of Armament;Francois Bozizé;2003;PA;Military Entrepreneur;High;M_U10_francois_bozizé;x
15005;Minister of Security;Raymond Ndougou;2003;PA;Crooked Kleptocrat;High;Unknown;x
15006;Head of Military Intelligence;Undistinguished Suit;2003;NA;Undistinguished Suit;High;Unknown;x
15007;Chief of Staff;Undistinguished Suit;2003;NA;Undistinguished Suit;High;Unknown;x
15008;Chief of Army;Undistinguished Suit;2003;NA;Undistinguished Suit;High;Unknown;x
15009;Chief of Air Force;Undistinguished Suit;2003;NA;Undistinguished Suit;High;Unknown;x
15010;Chief of Navy;Undistinguished Suit;2003;NA;Undistinguished Suit;High;Unknown;x
15011;Head of Government;Célestin Gaombalet;2003;PA;Happy Amateur;High;M_U10_célestin_gaombalet;x
15012;Head of Government;Élie Doté;2005;PA;Silent Workhorse;High;M_U10_élie_doté;x
15013;Head of Government;Faustin-Archange Touadéra;2005;PA;Silent Workhorse;High;M_U10_faustin-archange_touadéra;x
