U24;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
98501;Head of State;Salva Kiir Mayardit;2003;SL;Stern Imperialist;High;M_U24_salva_kiir_mayardit;x
98502;Head of Government;Riek Machar;2003;SL;Flamboyant Tough Guy;High;M_U24_riek_machar;x
98503;Foreign Minister;Undistinguished Suit;2003;SL;Undistinguished Suit;High;Unknown;x
98504;Minister of Armament;Undistinguished Suit;2003;SL;Undistinguished Suit;High;Unknown;x
98505;Minister of Security;Undistinguished Suit;2003;SL;Undistinguished Suit;High;Unknown;x
98506;Head of Military Intelligence;Undistinguished Suit;2003;NA;Undistinguished Suit;High;Unknown;x
98507;Chief of Staff;Undistinguished Suit;2003;NA;Undistinguished Suit;High;Unknown;x
98508;Chief of Army;Undistinguished Suit;2003;NA;Undistinguished Suit;High;Unknown;x
98509;Chief of Air Force;Undistinguished Suit;2003;NA;Undistinguished Suit;High;Unknown;x
98510;Chief of Navy;Undistinguished Suit;2003;NA;Undistinguished Suit;High;Unknown;x
98511;Head of State;John Garang;2003;SL;Benevolent Gentleman;High;M_U24_john_garang;x
98512;Head of Government;Salva Kiir Mayardit;2003;SL;Silent Workhorse;High;M_U24_salva_kiir_mayardit;x
