U02;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
53001;Head of State;Karl Offmann;2003;SL;Benevolent Gentleman;High;M_U02_karl_offman;x
53002;Head of Government;Anerood Jugnauth;2003;SL;Silent Workhorse;High;M_U02_anerood_jugnauth;x
53003;Foreign Minister;Charles Duval;2003;SL;Ideological Crusader;High;M_U02_charles_duval;x
53004;Minister of Armament;No standing army;2003;SL;Undistinguished Suit;High;Unknown;x
53005;Minister of Security;Jayarama Valayden;2003;SL;Crime Fighter;High;M_U02_jayarama_valayden;x
53006;Head of Military Intelligence;No standing army;2003;NA;Undistinguished Suit;High;Unknown;x
53007;Chief of Staff;No standing army;2003;NA;Undistinguished Suit;High;Unknown;x
53008;Chief of Army;No standing army;2003;NA;Undistinguished Suit;High;Unknown;x
53009;Chief of Air Force;No standing army;2003;NA;Undistinguished Suit;High;Unknown;x
53010;Chief of Navy;No standing army;2003;NA;Undistinguished Suit;High;Unknown;x
53011;Head of State;Anerood Jugnauth;2003;SL;Die-hard Reformer;High;M_U02_anerood_jugnauth;x
53012;Head of Government;Navinchandra Ramgoolam;2003;SL;Political Protege;High;M_U02_navinchandra_ramgoolam;x
