U18;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
85501;Head of State;Yoweri Museveni;1003;LWR;Stern Imperialist;High;M_U18_yoweri_museveni;x
85502;Head of Government;Yoweri Museveni;1003;LWR;Backroom Backstabber;High;M_U18_yoweri_museveni;x
85503;Foreign Minister;Sam Kutesa;1003;LWR;Great Compromiser;High;M_U18_sam_kutesa;x
85504;Minister of Armament;Crispus Kiyonga;1003;LWR;Infantry Proponent;High;M_U18_crispus_kiyonga;x
85505;Minister of Security;Kiddu Makubuya;1003;LWR;Crooked Kleptocrat;High;M_U18_kiddu_makubuya;x
85506;Head of Military Intelligence;Ruhakana Rugunda;1003;LWR;Political Specialist;High;M_U18_ruhakana_rugunda;x
85507;Chief of Staff;Aronda Nyakairima;1003;NA;School of Psychology;High;M_U18_aronda_nyakairima;x
85508;Chief of Army;Edward Walmala;1003;NA;Elastic Defence Doctrine;High;M_U18_edward_walmala;x
85509;Chief of Air Force;Malu Owesigire;1003;NA;Air Superiority Doctrine;High;Unknown;x
85510;Chief of Navy;N/A;1003;NA;Undistinguished Suit;High;Unknown;x
85511;Head of State;Kizza Besigye;1003;ML;Benevolent Gentleman;High;M_U18_kizza_besigye;x
85512;Head of Government;Kizza Besigye;1003;ML;Silent Workhorse;High;M_U18_kizza_besigye;x
