U03;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
63001;Head of State;Igor Smirnov;2003;SC;Stern Imperialist;High;M_U03_igor_smirnov;x
63002;Head of Government;Igor Smirnov;2003;SC;Ambitious Union Boss;High;M_U03_igor_smirnov;x
63003;Foreign Minister;Valeri Litskai;2003;SC;Apologetic Clerk;High;M_U03_valeri_litskai;x
63004;Minister of Armament;Stanislav Hazheyev;2003;SC;Corrupt Kleptocrat;High;Unknown;x
63005;Minister of Security;Vladimir Antyufeyev;2003;SC;Crooked Kleptocrat;High;Unknown;x
63006;Head of Military Intelligence;Unknown;2003;SC;Undistinguished Suit;High;Unknown;x
63007;Chief of Staff;Unknown;2003;SC;Undistinguished Suit;High;Unknown;x
63008;Chief of Army;Unknown;2003;SC;Undistinguished Suit;High;Unknown;x
63009;Chief of Navy;Unknown;2003;SC;Undistinguished Suit;High;Unknown;x
63010;Chief of Air Force;Unknown;2003;SC;Undistinguished Suit;High;Unknown;x
;Replacements;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
63011;Foreign Minister;Vladimir Yastrebchak;2008;SC;Ideological Crusader;High;Unknown;x
