U14;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
86501;Head of State;Zayed Al-Nahayan;2003;PA;Benevolent Gentleman;High;M_U14_zayed_al-nahayan;x
86502;Head of Government;Maktoum Al-Maktoum;2003;PA;Silent Workhorse;High;M_U14_maktoum_al-maktoum;x
86503;Foreign Minister;Rashid al-Nuaymi;2003;PA;Ideological Crusader;High;M_U14_rashid_al-nuaymi;x
86504;Minister of Armament;Maktoum Al-Maktoum ;2003;PA;Administrative Genius;High;M_U14_maktoum_al-maktoum;x
86505;Minister of Security;Mohammed Al-Dhahiri;2003;PA;Compassionate Gentleman;High;M_U14_mohammed_al-dhahiri;x
86506;Head of Military Intelligence;Saif Al-Nahayan;2003;PA;Logistics Specialist;High;M_U14_saif_al-nahayan;x
86507;Chief of Staff;Zayed Al-Nahayan;2003;PA;School of Manoeuvre;High;M_U14_zayed_al-nahayan;x
86508;Chief of Army;Unknown;2003;PA;Armoured Spearhead Doctrine;High;Unknown;x
86509;Chief of Navy;Unknown;2003;PA;Indirect Approach Doctrine;High;Unknown;x
86510;Chief of Air Force;Unknown;2003;PA;Air Superiority Doctrine;High;Unknown;x
;Replacements;;;;;;;x
86511;Head of State;Khalifa Al-Nahayan;2004;PA;Benevolent Gentleman;High;M_U14_khalifa_al-nahayan;x
86512;Head of Government;Mohammed Al-Maktoum;2006;PA;Corporate Suit;High;M_U14_mohammed_al-maktoum;x
86513;Foreign Minister;Mohammed Al-Maktoum;2006;PA;Great Compromiser;High;M_U14_mohammed_al-maktoum;x
86514;Minister of Armament;Khalifa Al-Nahayan;2004;PA;Laissez Faires Capitalist;High;M_U14_khalifa_al-nahayan;x
