U06;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
392001;Head of State;Romano Prodi;1003;SL;Weary Stiffneck;High;M_ITA_romano_prodi;x
392002;Head of Government;Pat Cox;1003;SD;Silent Workhorse;High;M_U06_pat_cox;x
392003;Minister of Armament;Günter Verheugen;1003;SD;Resource Industrialist;High;M_U06_günter_verheugen;x
392004;Foreign Minister;Javier Solana;1003;SL;Great Compromiser;High;M_U06_javier_solana;x
392005;Chief of Navy;Undistinguished suit;1003;SD;Undistinguished suit;High;Unknown;x
392006;Chief of Army;David Leakey;1003;SL;Elastic Defence Doctrine;High;M_U06_david_leakey;x
392007;Chief of Air Force;Undistinguished suit;1003;SD;Undistinguished suit;High;Unknown;x
392008;Head of Military Intelligence;Max Peter Ratzel;1003;SC;Technical Specialist;High;M_U06_max_peter_ratzel;x
392009;Chief of Staff;Henri Bentegeat;1003;SL;School of Manoeuvre;High;M_FRA_henri_bentegeat;x
392010;Minister of Security;Franco Frattini;1003;SD;Silent Lawyer;High;M_ITA_franco_frattini;x
;Replacements;;;;;;;x
392012;Head of State;Thomas Klestil;1003;ML;Benevolent Gentleman;High;M4500;x
392013;Head of Government;Wolfgang Schüssel;1003;ML;Silent Workhorse;High;M4501;x
392014;Foreign Minister;Benita Ferrero-Waldner;1003;ML;Great Compromiser;High;M4502;x
392015;Minister of Armament;Karl-Heinz Grasser;1003;ML;Laissez-Faire Capitalist;High;M4503;x
392016;Minister of Security;Dieter Böhmdorfer;1003;ML;Prince of Terror;High;M4504;x
392017;Head of Military Intelligence;Fritz Weber;1003;SC;Logistics Specialist;High;M4505;x
392018;Chief of Staff;Roland Ertl;1003;SC;School of Defence;High;M4506;x
392019;Chief of Army;Edmund Entacher;1003;SL;Guns and Butter Doctrine;High;M4507;x
392020;Chief of Navy;None;1003;SC;Undistinguished Suit;High;M4508;x
392011;Chief of Air Force;Erich Wolf;1003;SL;Air Superiority Doctrine;High;M4509;x
392023;Head of Government;Guy Verhofstadt;1003;ML;Naive Optimist;High;M7502;x
392024;Foreign Minister;Louis Michel;1003;ML;Ideological Crusader;High;M7503;x
392025;Minister of Armament;Johan Vande Lanotte;1003;ML;Laissez Faires Capitalist;High;M7504;x
392026;Minister of Security;Marc Verwilghen;1003;ML;Back Stabber;High;M7505;x
392027;Head of Military Intelligence;Michel Hellemans;1003;ML;Political Specialist;High;M7506;x
392028;Chief of Staff;André Flahaut;1003;ML;School of Defence;High;M7507;x
392029;Chief of Army;Oger Pochet;1003;ML;Guns and Butter Doctrine;High;M7508;x
392030;Chief of Navy;Michel Hellemans;1003;ML;Open Seas Doctrine;High;M7509;x
392031;Chief of Air Force;Michel Audrit;1003;ML;Air Superiority Doctrine;High;M7510;x
392032;Head of Government;Anders Fogh Rasmussen;1003;SC;Flamboyant Tough Guy;High;M21002;x
392033;Foreign Minister;Per Stig Möller;1003;SC;Ideological Crusader;High;M21003;x
392034;Minister of Armament;Bendt Bendtsen;1003;SC;Resource Industrialist;High;M21004;x
392035;Minister of Security;Lene Espersen;1003;SC;Crime Fighter;High;M21005;x
392036;Head of Military Intelligence;Jörn Olsesen;1003;SC;Industrial Specialist;High;Unknown;x
392037;Chief of Staff;Hans Jesper Helsö;1003;SC;School of Defence;High;M21007;x
392038;Chief of Army;Poul Kiärskou;1003;SC;Guns and Butter Doctrine;High;M21008;x
392039;Chief of Navy;Kurt B. Jensen;1003;ML;Indirect Approach Doctrine;High;M21009;x
392040;Chief of Air Force;Leif Simonsen;1003;ML;Air Superiority Doctrine;High;M21010;x
392041;Head of Government;Matti Vanhanen;1003;SC;Silent Workhorse;High;M28011;x
392042;Head of State;Sauli Niinistö;1003;SL;Weary Stiffneck;High;M28012;x
392043;Head of State;Tarja Halonen;1003;SD;Benevolent Gentleman;High;M28001;x
392044;Head of Government;Anneli Jäätteenmäki;1003;SC;Naive Optimist;Low;M28002;x
392045;Foreign Minister;Erkki Tuomioja;1003;SD;Biased Intellectual;High;M28003;x
392046;Minister of Armament;Antti Kalliomäki;1003;SD;Resource Industrialist;High;M28004;x
392047;Minister of Security;Kari Rajamäki;1003;SD;Silent Lawyer;Low;M28005;x
392048;Head of Military Intelligence;Seppo Nevala;1003;SC;Technical Specialist;Medium;M28006;x
392049;Chief of Staff;Juhani Kaskeala;1003;SC;School of Mass Combat;Low;M28007;x
392050;Chief of Army;Olli-Matti Multamäki;1003;SC;Elastic Defence Doctrine;High;M28008;x
392051;Chief of Navy;Hans Holmström;1003;SC;Indirect Approach Doctrine;High;M28009;x
392052;Chief of Air Force;Heikki Lyytinen;1003;SC;Air Superiority Doctrine;High;M28010;x
392053;Head of State;Jacques Chirac;1003;SD;Stern Imperialist;High;M28501;x
392054;Head of Government;Jean-Pierre Raffarin;1003;SD;Political Protege;High;M28502;x
392055;Foreign Minister;Dominique de Villepin ;1003;SD;Biased Intellectual;High;M28503;x
392056;Minister of Armament;Michèle Alliot-Marie;1003;SD;Battle Fleet Proponent;High;M28504;x
392057;Minister of Security;Nicolas Sarkozy;1003;SD;Crime Fighter;High;M28505;x
392058;Head of Military Intelligence;Jean-Jacques Pascal;1003;SD;Technical Specialist;High;Unknown;x
392059;Chief of Staff;Henri Bentegeat;1003;SD;School of Manoeuvre;High;M28507;x
