1;arms_factory;2140.00;15.35;2014.00;3.44;0
1;arms_factory;2143.00;15.30;2013.00;4.64;0
1;arms_factory;2237.00;11.25;1998.00;2.48;0
1;arms_factory;2068.00;14.65;1999.00;0.32;0
1;arms_factory;2061.00;14.15;1998.00;0.43;0
1;arms_factory;2150.00;14.05;1981.00;4.55;0
1;industrial_complex;2071.00;14.82;1980.00;0.93;0
1;industrial_complex;2163.00;13.03;1978.00;2.49;0
1;industrial_complex;2059.00;14.40;1959.00;5.15;0
1;industrial_complex;2094.00;15.90;1957.00;2.99;0
1;industrial_complex;2040.00;12.98;1958.00;4.20;0
1;industrial_complex;2041.00;12.40;1932.00;0.94;0
1;air_base;2083.00;15.30;1930.00;3.60;0
1;naval_base;1980.00;9.57;2003.00;-2.22;7724
1;naval_base;2229.00;9.50;1988.00;-0.97;5361
1;naval_base;2023.00;9.50;1908.00;-1.85;7952
1;naval_base;2178.00;9.50;1953.00;-3.77;5361
1;bunker;2216.00;10.15;2004.00;4.71;0
1;bunker;2178.00;14.60;2015.00;2.55;0
1;bunker;2011.00;10.00;1938.00;4.11;0
1;bunker;2157.00;10.13;1931.00;0.49;0
1;bunker;2049.00;10.05;1884.00;3.15;0
1;coastal_bunker;2217.00;9.50;1981.00;-0.97;0
1;coastal_bunker;2006.00;9.50;1965.00;0.11;0
1;coastal_bunker;2101.00;9.68;1854.00;0.93;0
1;coastal_bunker;2171.00;9.73;1944.00;-3.77;0
1;dockyard;1992.00;9.50;1992.00;-2.22;0
1;anti_air_building;2213.00;14.32;2018.00;1.00;0
1;anti_air_building;2050.00;12.90;2019.00;3.67;0
1;anti_air_building;2007.00;11.18;2005.00;0.05;0
1;radar_station;2154.00;12.50;1944.00;2.78;0
1;nuclear_reactor;2076.00;14.55;2004.00;5.73;0
2;arms_factory;2690.00;9.57;1799.00;2.48;0
2;arms_factory;2688.00;9.57;1800.00;0.32;0
2;arms_factory;2695.00;9.50;1800.00;0.43;0
2;arms_factory;2688.00;9.57;1801.00;4.55;0
2;arms_factory;2691.00;9.75;1783.00;0.93;0
2;arms_factory;2688.00;9.63;1798.00;2.49;0
2;industrial_complex;2688.00;9.63;1798.00;5.15;0
2;industrial_complex;2690.00;9.57;1799.00;2.99;0
2;industrial_complex;2688.00;9.57;1800.00;4.20;0
2;industrial_complex;2689.00;9.70;1800.00;0.94;0
2;industrial_complex;2690.00;9.53;1783.00;3.60;0
